N,HC
647,4.734843016
648,4.734843016
649,4.734843016
650,4.734843016
651,4.734938288
652,4.734938288
653,4.734938288
654,4.734938288
655,4.734938288
656,4.734938288
657,4.734938288
658,4.734938288
659,4.734938288
660,4.734938288
661,4.734938288
662,4.734938288
663,4.734938288
664,4.734938288
665,4.734938288
666,4.734938288
667,4.734938288
668,4.734938288
669,4.734938288
670,4.734938288
671,4.734938288
672,4.734938288
673,4.734938288
674,4.73503356
675,4.73503356
676,4.73503356
677,4.73503356
678,4.73503356
679,4.73503356
680,4.73503356
681,4.73503356
682,4.73503356
683,4.73503356
684,4.73503356
685,4.73503356
686,4.73503356
687,4.73503356
688,4.73503356
689,4.73503356
690,4.73503356
691,4.73503356
692,4.73503356
693,4.73503356
694,4.73503356
695,4.73503356
696,4.73503356
697,4.735128832
698,4.735128832
699,4.735128832
700,4.735128832
701,4.735128832
702,4.735128832
703,4.735128832
704,4.735128832
705,4.735128832
706,4.735128832
707,4.735128832
708,4.735128832
709,4.735128832
710,4.735128832
711,4.735128832
712,4.735128832
713,4.735128832
714,4.735128832
715,4.735128832
716,4.735128832
717,4.735128832
718,4.735128832
719,4.735128832
720,4.735128832
721,4.735128832
722,4.735128832
723,4.735224104
724,4.735224104
725,4.735224104
726,4.735224104
727,4.735224104
728,4.735224104
729,4.735224104
730,4.735224104
731,4.735224104
732,4.735224104
733,4.735224104
734,4.735224104
735,4.735224104
736,4.735224104
737,4.735224104
738,4.735224104
739,4.735224104
740,4.735224104
741,4.735224104
742,4.735224104
743,4.735224104
744,4.735224104
745,4.735224104
746,4.735224104
747,4.735224104
748,4.735224104
749,4.735319376
750,4.735319376
751,4.735319376
752,4.735319376
753,4.735319376
754,4.735319376
755,4.735319376
756,4.735319376
757,4.735319376
758,4.735319376
759,4.735319376
760,4.735319376
761,4.735319376
762,4.735319376
763,4.735319376
764,4.735319376
765,4.735319376
766,4.735319376
767,4.735319376
768,4.735319376
769,4.735319376
770,4.735319376
771,4.735319376
772,4.735319376
773,4.735319376
774,4.735319376
775,4.735319376
776,4.735319376
777,4.735414648
778,4.735414648
779,4.735414648
780,4.735414648
781,4.735414648
782,4.735414648
783,4.735414648
784,4.735414648
785,4.735414648
786,4.735414648
787,4.735414648
788,4.735414648
789,4.735414648
790,4.735414648
791,4.735414648
792,4.735414648
793,4.735414648
794,4.735414648
795,4.735414648
796,4.735414648
797,4.735414648
798,4.735414648
799,4.735414648
800,4.735414648
801,4.735414648
802,4.735414648
803,4.735414648
804,4.735414648
805,4.735414648
806,4.735414648
807,4.73550992
808,4.73550992
809,4.73550992
810,4.73550992
811,4.73550992
812,4.73550992
813,4.73550992
814,4.73550992
815,4.73550992
816,4.73550992
817,4.73550992
818,4.73550992
819,4.73550992
820,4.73550992
821,4.73550992
822,4.73550992
823,4.73550992
824,4.73550992
825,4.73550992
826,4.73550992
827,4.73550992
828,4.73550992
829,4.73550992
830,4.73550992
831,4.73550992
832,4.73550992
833,4.73550992
834,4.73550992
835,4.73550992
836,4.73550992
837,4.73550992
838,4.735605192
839,4.735605192
840,4.735605192
841,4.735605192
842,4.735605192
843,4.735605192
844,4.735605192
845,4.735605192
846,4.735605192
847,4.735605192
848,4.735605192
849,4.735605192
850,4.735605192
851,4.735605192
852,4.735605192
853,4.735605192
854,4.735605192
855,4.735605192
856,4.735605192
857,4.735605192
858,4.735605192
859,4.735605192
860,4.735605192
861,4.735605192
862,4.735605192
863,4.735605192
864,4.735605192
865,4.735605192
866,4.735605192
867,4.735605192
868,4.735605192
869,4.735605192
870,4.735605192
871,4.735605192
872,4.735700464
873,4.735700464
874,4.735700464
875,4.735700464
876,4.735700464
877,4.735700464
878,4.735700464
879,4.735700464
880,4.735700464
881,4.735700464
882,4.735700464
